OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_N,OWNER,OWNER2,TRAIL_STAT,TRAIL_COND,TRAIL_SURF,TRAIL_CLAS,LENGTH,WIDTH,SLOPE,SUBSEGMENT,STREET,OPEN_DATE,MAINTAIN_D,EMERGENCY,LIGHTING,ACCESSIBIL,PUBLIC_ACC,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH,Starbucks,idk,place name,owner_2,address,address2,address3,address4,city,state,zip,country,both point,lat,lon
"474",1843.401751640460134,Speight Branch Greenway,Speight Branch Greenway,Town of Cary,,EXISTING,,ASPHALT,,0.349129120000000,10.000000000000000,,Links Walnut St to Tryon Road Park,,,,,,NOT EVALUATED,,,YES,,YES,NO,,,,1843.401751639999929,Starbucks,"11967",Tryon Village,Company Owned,"8204 Tryon Woods Dr, Suite 120
Cary, NC 27518-7164
(35.746163, -78.741863)","8204 Tryon Woods Dr, Suite 120",8204 Tryon Woods Dr,Suite 120,Cary,NC,27518-7164,US,"(35.746163, -78.741863)",35.746163000000003,-78.741862999999995
"539",721.181970970619091,Haddon Hall Restaurant,,Apex,,EXISTING,,,,0.136587490000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,721.181970979999960,Starbucks,"72999",Harris Teeter-Apex #58,Licensed,"750 W Williams St
Apex, NC 27502-5100
(35.737651, -78.862797)",750 W Williams St,750 W Williams St,,Apex,NC,27502-5100,US,"(35.737651, -78.862797)",35.737651000000000,-78.862797000000000
"561",87.919831221888501,Grace Park Greenway,Grace Park Greenway,Town of Cary,,EXISTING,,ASPHALT,,0.016651480000000,10.000000000000000,,Lake Grove Boulevard to Morrisville Town Limits,,,,,,NOT EVALUATED,,,,,,,,,,87.919831209999998,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"573",2695.575029340710444,GLC Rd Street-Side Trail (East),GLC Rd Street-Side Trail (East),Town of Cary,,EXISTING,,ASPHALT,,0.510525570000000,10.000000000000000,,Carpenter Fire Station Rd to McCrimmon Pkwy,,,,,,NOT EVALUATED,,,,,,,,,,2695.575029350000023,Starbucks,"79699",Harris Teeter-Cary #298,Licensed,"1150 Green Level to Durham Rd
Cary, NC 27519-8341
(35.820702, -78.90107)",1150 Green Level to Durham Rd,1150 Green Level to Durham Rd,,Cary,NC,27519-8341,US,"(35.820702, -78.90107)",35.820701999999997,-78.901070000000004
"731",57704.052478336401691,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,10.928797820000000,10.000000000000000,,,,,,,,ACCESSIBLE,,,,,,,,,,57704.052478259996860,Starbucks,"8589",Crabtree Valley Mall,Company Owned,"4325 Glen Wood Avenue, Space 1121
Raleigh, NC 27612-4532
(35.840769, -78.679576)","4325 Glen Wood Avenue, Space 1121",4325 Glen Wood Avenue,Space 1121,Raleigh,NC,27612-4532,US,"(35.840769, -78.679576)",35.840769000000002,-78.679575999999997
"779",218.469025372439035,Chapel Hill Road Street-Side Trail,Chapel Hill Road Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.041376710000000,8.000000000000000,,Portrait Drive to NW Maynard Road,,,,,,NOT EVALUATED,,,,,,,,,,218.469025369999997,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"840",761.142690738059059,Walnut Street Street-Side Trail,Walnut Street Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.144155810000000,0.000000000000000,,East side of Walnut Street - S,,,,,,NOT EVALUATED,,,YES,,YES,,,,,761.142690730000027,Starbucks,"73887",Harris Teeter-Cary # 330,Licensed,"1151 TRYON VILLAGE DRIVE
Cary, NC 27518-7168
(35.74668, -78.743422)",1151 TRYON VILLAGE DRIVE,1151 TRYON VILLAGE DRIVE,,Cary,NC,27518-7168,US,"(35.74668, -78.743422)",35.746679999999998,-78.743421999999995
"840",761.142690738059059,Walnut Street Street-Side Trail,Walnut Street Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.144155810000000,0.000000000000000,,East side of Walnut Street - S,,,,,,NOT EVALUATED,,,YES,,YES,,,,,761.142690730000027,Starbucks,"11967",Tryon Village,Company Owned,"8204 Tryon Woods Dr, Suite 120
Cary, NC 27518-7164
(35.746163, -78.741863)","8204 Tryon Woods Dr, Suite 120",8204 Tryon Woods Dr,Suite 120,Cary,NC,27518-7164,US,"(35.746163, -78.741863)",35.746163000000003,-78.741862999999995
"868",45.650254880888099,Chapel Hill Road Street-Side Trail,Chapel Hill Road Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.008645880000000,8.000000000000000,,Portrait Drive to NW Maynard Road,,2016/12/28 00:00:00.000,,,,NOT EVALUATED,,,YES,,YES,,,,,45.650254879999999,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"976",4997.294496356360469,NC 55 Street-Side Trail (East),NC 55 Street-Side Trail (East),Town of Cary,,EXISTING,,CONCRETE,,0.946457290000000,8.000000000000000,,White Oak GW to  Parkscene Lane,,,,,,NOT EVALUATED,,,,,,,,,,4997.294496370000161,Starbucks,"9364",High House Road,Company Owned,"2840 NC Highway 55
Cary, NC 27519-5685
(35.789277, -78.870563)",2840 NC Highway 55,2840 NC Highway 55,,Cary,NC,27519-5685,US,"(35.789277, -78.870563)",35.789276999999998,-78.870563000000004
"986",53.003501762099297,Black Creek Greenway,Black Creek Greenway,Town of Cary,,EXISTING,,CONCRETE,,0.010038540000000,10.000000000000000,,,,,,,,NOT EVALUATED,,,,,,,,,,53.003501770000000,Starbucks,"10158",Evans Road,Company Owned,"1904 Northwest Maynard Road
Cary, NC 27513-4997
(35.798662, -78.795089)",1904 Northwest Maynard Road,1904 Northwest Maynard Road,,Cary,NC,27513-4997,US,"(35.798662, -78.795089)",35.798662000000000,-78.795089000000004
"1055",930.490425251821989,Walnut Street Street-Side Trail,Walnut Street Street-Side Trail,Town of Cary,,EXISTING,,CONCRETE,,0.176229250000000,8.000000000000000,,Buck Jones Road to Crossroads SC,,,,,,NOT EVALUATED,,,,,,,,,,930.490425240000036,Starbucks,"13922",Crossroads Blvd & Caitboo Ave,Company Owned,"204 Crossroads Plaza, Suite 200
Cary, NC 27511-6705
(35.760541, -78.741012)","204 Crossroads Plaza, Suite 200",204 Crossroads Plaza,Suite 200,Cary,NC,27511-6705,US,"(35.760541, -78.741012)",35.760541000000003,-78.741011999999998
"1116",1195.690871149960003,Morrisville Carpenter Rd North Side,,Morrisville,,EXISTING,,CONCRETE,,0.226456600000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,1195.690871150000021,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"1178",1440.949926273670144,Grace Park,,Morrisville,,EXISTING,,ASPHALT,,0.272907180000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,1440.949926270000105,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"1340",1108.068900805579915,Morrisville Carpenter Rd Southside,,Morrisville,,EXISTING,,CONCRETE,,0.209861530000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,1108.068900810000059,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"1372",1192.663103720839899,Davis Drive,,Morrisville,,EXISTING,,CONCRETE,,0.225883160000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,1192.663103719999981,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"1419",931.933902005367941,Davis Drive,,Morrisville,,EXISTING,,CONCRETE,,0.176502630000000,,,,,,,,,NOT EVALUATED,,,,,,,,,,931.933901999999989,Starbucks,"9657",Grace Park,Company Owned,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637000000003,-78.847562999999994
"1565",1961.274773833480140,Martin St Connector,,City of Raleigh,,EXISTING,,CONCRETE,,0.371456680000000,5.000000000000000,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1961.291285940000080,Starbucks,"75937",Marriott Downtown Raleigh,Licensed,"500 Fayetteville St. Mall
Raleigh, NC 27601-2118
(35.774788, -78.63939)",500 Fayetteville St. Mall,500 Fayetteville St. Mall,,Raleigh,NC,27601-2118,US,"(35.774788, -78.63939)",35.774788000000001,-78.639390000000006
